station,catchment-no,district,latitude,longitude
soor sagar *-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jodhpur (a)-jodhpur,108.0,jodhpur,"260 18"" N","730 01"" E"
phalodi (a)-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
biran *-jodhpur,,jodhpur,,
galjore *-jodhpur,,jodhpur,,
jaswant sagar *-jodhpur,,jodhpur,,
korna-jodhpur,,jodhpur,,
pipar road-jodhpur,,jodhpur,,
surpura *-jodhpur,,jodhpur,,
jodhpur city (a)-jodhpur,,jodhpur,,
bhopagarh-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jodhpur (a)-jodhpur,108.0,jodhpur,"260 18"" N","730 01"" E"
phalodi (a)-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
biran-jodhpur,,jodhpur,,
galjore-jodhpur,,jodhpur,,
jaswant sagar-jodhpur,,jodhpur,,
korna-jodhpur,,jodhpur,,
pipar road-jodhpur,,jodhpur,,
surpura-jodhpur,,jodhpur,,
bhopalgarh-jodhpur,,jodhpur,,
birai *-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jodhpur (a)-jodhpur,108.0,jodhpur,"260 18"" N","730 01"" E"
phalodi (a)-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
biran *-jodhpur,,jodhpur,,
galjore *-jodhpur,,jodhpur,,
jaswant sagar *-jodhpur,,jodhpur,,
korna *-jodhpur,,jodhpur,,
pipar road *-jodhpur,,jodhpur,,
surpura *-jodhpur,,jodhpur,,
bhopalgarh-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi (a)-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jodhpur (a)-jodhpur,108.0,jodhpur,"260 18"" N","730 01"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
bhopalgarh-jodhpur,,jodhpur,,
galjore-jodhpur,,jodhpur,,
jaswant sagar-jodhpur,,jodhpur,,
korna-jodhpur,,jodhpur,,
pipar road-jodhpur,,jodhpur,,
surpura-jodhpur,,jodhpur,,
biran-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jodhpur (a)-jodhpur,108.0,jodhpur,"260 18"" N","730 01"" E"
phalodi (a)-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
biran *-jodhpur,,jodhpur,,
galjore *-jodhpur,,jodhpur,,
jaswant sagar *-jodhpur,,jodhpur,,
korna *-jodhpur,,jodhpur,,
pipar road *-jodhpur,,jodhpur,,
surpura *-jodhpur,,jodhpur,,
bhopalgarh-jodhpur,,jodhpur,,
jodhpur irri *-jodhpur,108.0,jodhpur,"260 18"" N","730 01"" E"
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jodhpur (a)-jodhpur,108.0,jodhpur,"260 18"" N","730 01"" E"
phalodi (a)-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
biran-jodhpur,,jodhpur,,
galjore-jodhpur,,jodhpur,,
jaswant sagar-jodhpur,,jodhpur,,
korna-jodhpur,,jodhpur,,
pipar road-jodhpur,,jodhpur,,
surpura-jodhpur,,jodhpur,,
bhopalgarh-jodhpur,,jodhpur,,
naharsagar dam-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jodhpur (a)-jodhpur,108.0,jodhpur,"260 18"" N","730 01"" E"
phalodi (a)-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
biran *-jodhpur,,jodhpur,,
galjore *-jodhpur,,jodhpur,,
jaswant sagar *-jodhpur,,jodhpur,,
korna *-jodhpur,,jodhpur,,
pipar road *-jodhpur,,jodhpur,,
surpura *-jodhpur,,jodhpur,,
bhopal garh-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jodhpur (a)-jodhpur,108.0,jodhpur,"260 18"" N","730 01"" E"
phalodi (a)-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
biran-jodhpur,,jodhpur,,
galjore-jodhpur,,jodhpur,,
jaswant sagar-jodhpur,,jodhpur,,
korna-jodhpur,,jodhpur,,
pipar road-jodhpur,,jodhpur,,
surpura-jodhpur,,jodhpur,,
bhopalgarh-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jodhpur (a)-jodhpur,108.0,jodhpur,"260 18"" N","730 01"" E"
phalodi (a)-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
biran-jodhpur,,jodhpur,,
galjore-jodhpur,,jodhpur,,
jaswant sagar-jodhpur,,jodhpur,,
korna-jodhpur,,jodhpur,,
pipar road-jodhpur,,jodhpur,,
surpura-jodhpur,,jodhpur,,
bhopalgarh-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jodhpur (a)-jodhpur,108.0,jodhpur,"260 18"" N","730 01"" E"
phalodi (a)-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
biran-jodhpur,,jodhpur,,
galjore-jodhpur,,jodhpur,,
jaswant sagar-jodhpur,,jodhpur,,
korna-jodhpur,,jodhpur,,
pipar road-jodhpur,,jodhpur,,
surpura-jodhpur,,jodhpur,,
bhopalgarh-jodhpur,,jodhpur,,
luni-jodhpur,,jodhpur,,"730 01"" E"
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jodhpur (a)-jodhpur,108.0,jodhpur,"260 18"" N","730 01"" E"
phalodi (a)-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
biran-jodhpur,,jodhpur,,
galjore-jodhpur,,jodhpur,,
jaswant sagar *-jodhpur,,jodhpur,,
korna-jodhpur,,jodhpur,,
pipar road-jodhpur,,jodhpur,,
surpura *-jodhpur,,jodhpur,,
jodhpur (irri)*-jodhpur,,jodhpur,,
jhaliwada *-jodhpur,,jodhpur,,
bhopalgarh-jodhpur,,jodhpur,,
luni-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jaswant sagar *-jodhpur,,jodhpur,,
jhaliwada *-jodhpur,,jodhpur,,
bhopalgarh-jodhpur,,jodhpur,,
luni-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jodhpur (a)-jodhpur,108.0,jodhpur,"260 18"" N","730 01"" E"
phalodi (a)-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
bhopalgarh-jodhpur,,jodhpur,,
luni-jodhpur,,jodhpur,,
jaswant sagar *-jodhpur,,jodhpur,,
surpura *-jodhpur,,jodhpur,,
birai bundh*-jodhpur,,jodhpur,,
jhaliwada *-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
bhopalgarh-jodhpur,,jodhpur,,
luni-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jaswant sagar *-jodhpur,,jodhpur,"260 13"" N","730 41"" E"
surpura *-jodhpur,,jodhpur,"260 22"" N","720 05"" E"
birai bundh*-jodhpur,,jodhpur,,
jhaliwada *-jodhpur,,jodhpur,,
bhopalgarh-jodhpur,,jodhpur,,
luni-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jaswant sagar *-jodhpur,,jodhpur,"260 13"" N","730 41"" E"
surpura *-jodhpur,,jodhpur,"260 22"" N","720 05"" E"
birai bundh*-jodhpur,,jodhpur,,
jhaliwada *-jodhpur,,jodhpur,,
bhopalgarh-jodhpur,,jodhpur,,
luni-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jaswant sagar *-jodhpur,,jodhpur,"260 13"" N","730 41"" E"
surpura *-jodhpur,,jodhpur,"260 22"" N","720 05"" E"
birai bundh*-jodhpur,,jodhpur,,
jhaliwada *-jodhpur,,jodhpur,,
bhopalgarh-jodhpur,,jodhpur,,
luni-jodhpur,,jodhpur,,
jodhpur city*-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jaswant sagar *-jodhpur,,jodhpur,"260 13"" N","730 41"" E"
surpura *-jodhpur,,jodhpur,"260 22"" N","720 05"" E"
birai bundh*-jodhpur,,jodhpur,,
jhaliwada *-jodhpur,,jodhpur,,
bhopalgarh-jodhpur,,jodhpur,,
luni-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
jaswant sagar *-jodhpur,,jodhpur,"260 13"" N","730 41"" E"
surpura *-jodhpur,,jodhpur,"260 22"" N","720 05"" E"
birai bundh*-jodhpur,,jodhpur,,
jhaliwada *-jodhpur,,jodhpur,,
bhopalgarh-jodhpur,,jodhpur,,
luni-jodhpur,,jodhpur,,
jodhpur city*-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
bhopalgarh-jodhpur,,jodhpur,,
luni-jodhpur,,jodhpur,,
jaswant sagar *-jodhpur,,jodhpur,"260 13"" N","730 41"" E"
surpura *-jodhpur,,jodhpur,"260 22"" N","720 05"" E"
birai bundh*-jodhpur,,jodhpur,,
jhaliwada *-jodhpur,,jodhpur,,
jodhpur city*-jodhpur,,jodhpur,,
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
bhopalgarh-jodhpur,,jodhpur,,
luni-jodhpur,,jodhpur,,
jaswant sagar *-jodhpur,,jodhpur,"260 13"" N","730 41"" E"
surpura *-jodhpur,,jodhpur,"260 22"" N","720 05"" E"
birai bundh*-jodhpur,,jodhpur,,
jhaliwada *-jodhpur,,jodhpur,,
jodhpur city*-jodhpur,,jodhpur,"260 18"" N","730 02"" E"
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
bhopalgarh-jodhpur,,jodhpur,,
luni-jodhpur,,jodhpur,,
jaswant sagar *-jodhpur,,jodhpur,"260 13"" N","730 41"" E"
surpura *-jodhpur,,jodhpur,"260 22"" N","720 05"" E"
birai bundh*-jodhpur,,jodhpur,,
jhaliwada *-jodhpur,,jodhpur,,
jodhpur city*-jodhpur,,jodhpur,"260 18"" N","730 02"" E"
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
bhopalgarh-jodhpur,,jodhpur,,
luni-jodhpur,,jodhpur,,
jaswant sagar *-jodhpur,,jodhpur,"260 13"" N","730 41"" E"
surpura *-jodhpur,,jodhpur,"260 22"" N","720 05"" E"
birai bundh*-jodhpur,,jodhpur,,
jhaliwada *-jodhpur,,jodhpur,,
jodhpur city*-jodhpur,,jodhpur,"260 18"" N","730 02"" E"
bilara-jodhpur,108.0,jodhpur,"260 11"" N","730 42"" E"
jodhpur-jodhpur,108.0,jodhpur,"260 18"" N","730 02"" E"
osian-jodhpur,108.0,jodhpur,"260 43"" N","720 55"" E"
phalodi-jodhpur,600.0,jodhpur,"270 08"" N","720 22"" E"
shergarh-jodhpur,108.0,jodhpur,"260 20"" N","720 18"" E"
bhopalgarh-jodhpur,,jodhpur,,
luni-jodhpur,,jodhpur,,
jaswant sagar *-jodhpur,,jodhpur,"260 13"" N","730 41"" E"
surpura *-jodhpur,,jodhpur,"260 22"" N","720 05"" E"
birai bundh*-jodhpur,,jodhpur,,
jhaliwada *-jodhpur,,jodhpur,,
jodhpur city*-jodhpur,,jodhpur,"260 18"" N","730 02"" E"
sikar (a)-sikar,,sikar,"270 37"" N","750 09"" E"
sikar-sikar,600.0,sikar,"270 37"" N","750 09"" E"
neem ka thana-sikar,403.0,sikar,"270 44"" N","750 47"" E"
danta ramgarh-sikar,600.0,sikar,"270 15"" N","750 12"" E"
laxmangarh-sikar,600.0,sikar,"270 28"" N","750 36"" E"
fatehpur-sikar,600.0,sikar,"270 59"" N","740 58"" E"
ramgarh-sikar,600.0,sikar,"270 49"" N","750 02"" E"
srimadhopur-sikar,600.0,sikar,"270 15"" N","750 10"" E"
sikar (a)-sikar,,sikar,"270 37"" N","750 09"" E"
sikar-sikar,600.0,sikar,"270 37"" N","750 09"" E"
neem ka thana-sikar,403.0,sikar,"270 44"" N","750 47"" E"
danta ramgarh-sikar,600.0,sikar,"270 15"" N","750 12"" E"
laxmangarh-sikar,600.0,sikar,"270 28"" N","750 36"" E"
fatehpur-sikar,600.0,sikar,"270 59"" N","740 58"" E"
ramgarh-sikar,600.0,sikar,"270 49"" N","750 02"" E"
srimadhopur-sikar,600.0,sikar,"270 15"" N","750 10"" E"
sikar (a)-sikar,,sikar,"270 37"" N","750 09"" E"
sikar-sikar,600.0,sikar,"270 37"" N","750 09"" E"
neem ka thana-sikar,403.0,sikar,"270 44"" N","750 47"" E"
danta ramgarh-sikar,600.0,sikar,"270 15"" N","750 12"" E"
srimadhopur-sikar,600.0,sikar,"270 28"" N","750 36"" E"
fatehpur-sikar,600.0,sikar,"270 59"" N","740 58"" E"
laxmangarh-sikar,600.0,sikar,"270 49"" N","750 02"" E"
ramgarh-sikar,600.0,sikar,"270 15"" N","750 10"" E"
sikar (a)-sikar,,sikar,"270 37"" N","750 09"" E"
sikar-sikar,600.0,sikar,"270 37"" N","750 09"" E"
neem ka thana-sikar,403.0,sikar,"270 44"" N","750 47"" E"
danta ramgarh-sikar,600.0,sikar,"270 15"" N","750 12"" E"
srimadhopur-sikar,600.0,sikar,"270 28"" N","750 36"" E"
fatehpur-sikar,600.0,sikar,"270 59"" N","740 58"" E"
laxmangarh-sikar,600.0,sikar,"270 49"" N","750 02"" E"
ramgarh-sikar,600.0,sikar,"270 15"" N","750 10"" E"
sikar (a) *-sikar,,sikar,"270 37"" N","750 09"" E"
sikar-sikar,600.0,sikar,"270 37"" N","750 09"" E"
neem ka thana-sikar,403.0,sikar,"270 44"" N","750 47"" E"
danta ramgarh-sikar,600.0,sikar,"270 15"" N","750 12"" E"
srimadhopur-sikar,600.0,sikar,"270 28"" N","750 36"" E"
fatehpur-sikar,600.0,sikar,"270 59"" N","740 58"" E"
laxmangarh-sikar,600.0,sikar,"270 49"" N","750 02"" E"
ramgarh-sikar,600.0,sikar,"270 15"" N","750 10"" E"
sikar (a)-sikar,,sikar,"270 37"" N","750 09"" E"
sikar-sikar,600.0,sikar,"270 37"" N","750 09"" E"
neem ka thana-sikar,403.0,sikar,"270 44"" N","750 47"" E"
danta ramgarh-sikar,600.0,sikar,"270 15"" N","750 12"" E"
srimadhopur-sikar,600.0,sikar,"270 28"" N","750 36"" E"
fatehpur-sikar,600.0,sikar,"270 59"" N","740 58"" E"
laxmangarh-sikar,600.0,sikar,"270 49"" N","750 02"" E"
ramgarh-sikar,600.0,sikar,"270 15"" N","750 10"" E"
sikar (a) *-sikar,,sikar,"270 37"" N","750 09"" E"
sikar-sikar,600.0,sikar,"270 37"" N","750 09"" E"
neem ka thana-sikar,403.0,sikar,"270 44"" N","750 47"" E"
danta ramgarh-sikar,600.0,sikar,"270 15"" N","750 12"" E"
srimadhopur-sikar,600.0,sikar,"270 28"" N","750 36"" E"
fatehpur-sikar,600.0,sikar,"270 59"" N","740 58"" E"
laxmangarh-sikar,600.0,sikar,"270 49"" N","750 02"" E"
ramgarh-sikar,600.0,sikar,"270 15"" N","750 10"" E"
sikar (a) *-sikar,,sikar,"270 37"" N","750 09"" E"
sikar-sikar,600.0,sikar,"270 37"" N","750 09"" E"
neem ka thana-sikar,403.0,sikar,"270 44"" N","750 47"" E"
danta ramgarh-sikar,600.0,sikar,"270 15"" N","750 12"" E"
srimadhopur-sikar,600.0,sikar,"270 28"" N","750 36"" E"
fatehpur-sikar,600.0,sikar,"270 59"" N","740 58"" E"
laxmangarh-sikar,600.0,sikar,"270 49"" N","750 02"" E"
ramgarh-sikar,600.0,sikar,"270 15"" N","750 10"" E"
sikar (a)-sikar,,sikar,"270 37"" N","750 09"" E"
sikar-sikar,600.0,sikar,"270 37"" N","750 09"" E"
neem ka thana-sikar,403.0,sikar,"270 44"" N","750 47"" E"
danta ramgarh-sikar,600.0,sikar,"270 15"" N","750 12"" E"
srimadhopur-sikar,600.0,sikar,"270 28"" N","750 36"" E"
fatehpur-sikar,600.0,sikar,"270 59"" N","740 58"" E"
laxmangarh-sikar,600.0,sikar,"270 49"" N","750 02"" E"
ramgarh-sikar,600.0,sikar,"270 15"" N","750 10"" E"
sikar (a) *-sikar,,sikar,"270 37"" N","750 09"" E"
sikar-sikar,600.0,sikar,"270 37"" N","750 09"" E"
neem ka thana-sikar,403.0,sikar,"270 44"" N","750 47"" E"
danta ramgarh-sikar,600.0,sikar,"270 15"" N","750 12"" E"
srimadhopur-sikar,600.0,sikar,"270 28"" N","750 36"" E"
fatehpur-sikar,600.0,sikar,"270 59"" N","740 58"" E"
laxmangarh-sikar,600.0,sikar,"270 49"" N","750 02"" E"
ramgarh-sikar,600.0,sikar,"270 15"" N","750 10"" E"
sikar (a) *-sikar,,sikar,"270 37"" N","750 09"" E"
sikar-sikar,600.0,sikar,"270 37"" N","750 09"" E"
neem ka thana-sikar,403.0,sikar,"270 44"" N","750 47"" E"
danta ramgarh-sikar,600.0,sikar,"270 15"" N","750 12"" E"
srimadhopur-sikar,600.0,sikar,"270 28"" N","750 36"" E"
fatehpur-sikar,600.0,sikar,"270 59"" N","740 58"" E"
laxmangarh-sikar,600.0,sikar,"270 49"" N","750 02"" E"
ramgarh-sikar,600.0,sikar,"270 15"" N","750 10"" E"
sikar (a) *-sikar,,sikar,"270 37"" N","750 09"" E"
sikar-sikar,600.0,sikar,"270 37"" N","750 09"" E"
neem ka thana-sikar,403.0,sikar,"270 44"" N","750 47"" E"
danta ramgarh-sikar,600.0,sikar,"270 15"" N","750 12"" E"
srimadhopur-sikar,600.0,sikar,"270 28"" N","750 36"" E"
fatehpur-sikar,600.0,sikar,"270 59"" N","740 58"" E"
laxmangarh-sikar,600.0,sikar,"270 49"" N","750 02"" E"
ramgarh-sikar,600.0,sikar,"270 15"" N","750 10"" E"
sikar (a) *-sikar,,sikar,"270 37"" N","750 09"" E"
sikar-sikar,600.0,sikar,"270 37"" N","750 09"" E"
neem ka thana-sikar,403.0,sikar,"270 44"" N","750 47"" E"
danta ramgarh-sikar,600.0,sikar,"270 15"" N","750 12"" E"
srimadhopur-sikar,600.0,sikar,"270 28"" N","750 36"" E"
fatehpur-sikar,600.0,sikar,"270 59"" N","740 58"" E"
laxmangarh-sikar,600.0,sikar,"270 49"" N","750 02"" E"
ramgarh-sikar,600.0,sikar,"270 15"" N","750 10"" E"
sikar (a) *-sikar,,sikar,"270 37"" N","750 09"" E"
sikar-sikar,600.0,sikar,"270 37"" N","750 09"" E"
neem ka thana-sikar,403.0,sikar,"270 44"" N","750 47"" E"
danta ramgarh-sikar,600.0,sikar,"270 15"" N","750 12"" E"
srimadhopur-sikar,600.0,sikar,"270 28"" N","750 36"" E"
fatehpur-sikar,600.0,sikar,"270 59"" N","740 58"" E"
laxmangarh-sikar,600.0,sikar,"270 49"" N","750 02"" E"
ramgarh-sikar,600.0,sikar,"270 15"" N","750 10"" E"
sikar (a) *-sikar,,sikar,"270 37"" N","750 09"" E"
sikar-sikar,600.0,sikar,"270 37"" N","750 09"" E"
neem ka thana-sikar,403.0,sikar,"270 44"" N","750 47"" E"
danta ramgarh-sikar,600.0,sikar,"270 15"" N","750 12"" E"
srimadhopur-sikar,600.0,sikar,"270 28"" N","750 36"" E"
fatehpur-sikar,600.0,sikar,"270 59"" N","740 58"" E"
laxmangarh-sikar,600.0,sikar,"270 49"" N","750 02"" E"
ramgarh-sikar,600.0,sikar,"270 15"" N","750 10"" E"
sikar (a)-sikar,,sikar,"270 37"" N","750 09"" E"
sikar-sikar,600.0,sikar,"270 37"" N","750 09"" E"
neem ka thana-sikar,403.0,sikar,"270 44"" N","750 47"" E"
danta ramgarh-sikar,600.0,sikar,"270 15"" N","750 12"" E"
srimadhopur-sikar,600.0,sikar,"270 28"" N","750 36"" E"
fatehpur-sikar,600.0,sikar,"270 59"" N","740 58"" E"
laxmangarh-sikar,600.0,sikar,"270 49"" N","750 02"" E"
ramgarh-sikar,600.0,sikar,"270 15"" N","750 10"" E"
sirohi-sirohi,107.0,sirohi,"24036"" N","720 43"" E"
sheoganj-sirohi,107.0,sirohi,"240 53"" N","720 52"" E"
pindwara-sirohi,107.0,sirohi,"240 29"" N","720 48"" E"
reodar-sirohi,107.0,sirohi,"24036"" N","720 43"" E"
abu road-sirohi,107.0,sirohi,"240 47"" N","730 03"" E"
mount abu-sirohi,107.0,sirohi,"240 38"" N","720 32"" E"
mount abu (a)-sirohi,107.0,sirohi,"240 38"" N","720 32"" E"
padrada *-sirohi,,sirohi,"25020"" N","730 49"" E"
surup sagar *-sirohi,,sirohi,"25020"" N","730 49"" E"
ora *-sirohi,405.0,sirohi,"240 55"" N","720 43"" E"
sukri *-sirohi,405.0,sirohi,"240 42"" N","720 54"" E"
